MDF0,MHNR,RVS,LABEL
37.500000,225.255615,11.000000,1
7.833333,122.648880,7.000000,1
14.285714,141.151962,5.000000,1
3.400000,493.254517,9.000000,1
6.166667,112.669342,2.000000,1
1.900000,231.125824,4.000000,1
0.800000,507.641785,5.000000,1
20.666666,156.318832,1.000000,1
4.000000,376.906616,11.000000,1
1.900000,746.506470,11.000000,1
5.333333,139.431702,10.000000,1
3.714286,292.846649,8.000000,1
1.000000,837.117126,11.000000,1
2.600000,980.102112,11.000000,1
11.428572,265.217407,8.000000,1
46.500000,33.660271,4.000000,1
6.888889,114.659088,10.000000,1
3.750000,549.299744,10.000000,1
24.799999,445.934692,11.000000,1
22.400000,222.773102,11.000000,1
2.600000,193.833359,7.000000,1
3.700000,247.830521,11.000000,1
21.000000,15.560526,3.000000,1
4.625000,213.287354,10.000000,1
11.750000,82.074486,6.000000,1
7.900000,592.933960,11.000000,1
15.000000,134.346573,7.000000,1
4.000000,18.091599,7.000000,1
9.100000,128.558136,11.000000,1
22.000000,33.418320,6.000000,1
15.571428,23.270037,8.000000,1
9.000000,152.750397,9.000000,1
5.400000,158.134842,11.000000,1
1.800000,316.617157,11.000000,1
1.500000,70.249268,4.000000,1
4.571429,198.209045,8.000000,1
5.900000,378.463409,11.000000,1
53.857143,73.148590,9.000000,1
30.900000,322.690674,11.000000,1
0.300000,722.098083,11.000000,1
144.666672,4.591134,5.000000,1
22.500000,11.708890,6.000000,1
95.555557,22.936626,11.000000,1
127.666664,79.634331,5.000000,1
32.099998,79.298409,11.000000,1
7.375000,160.092972,9.000000,1
78.599998,17.718925,7.000000,1
41.200001,72.476898,11.000000,1
6.300000,148.630493,11.000000,1
61.857143,44.240669,9.000000,1
5.700000,105.903320,11.000000,1
25.375000,60.059372,9.000000,1
9.888889,165.681976,10.000000,1
48.666668,13.940617,8.000000,1
11.166667,23.021301,8.000000,1
4.888889,13.100553,10.000000,1
7.500000,41.735279,7.000000,1
6.700000,110.060059,11.000000,1
5.000000,116.999542,9.000000,1
8.875000,119.715935,11.000000,1
5.300000,145.374573,11.000000,1
46.000000,7.333684,4.000000,1
9.750000,67.305252,9.000000,1
90.666664,41.782505,9.000000,1
8.875000,23.354731,10.000000,1
4.900000,60.599842,11.000000,1
9.000000,42.797932,11.000000,1
7.333333,57.944191,11.000000,1
11.750000,104.873215,11.000000,1
53.900002,280.263153,11.000000,1
23.299999,868.942444,11.000000,1
0.500000,1240.134888,11.000000,1
5.300000,318.712585,11.000000,1
11.500000,52.241138,11.000000,1
6.750000,69.412308,10.000000,1
3.333333,61.717018,8.000000,1
9.600000,17.645023,9.000000,1
3.625000,112.336700,10.000000,1
11.000000,34.759964,9.000000,1
1.714286,58.246994,8.000000,1
48.500000,218.025543,11.000000,1
59.375000,134.058228,11.000000,1
4.666667,362.675171,8.000000,1
12.600000,208.220596,7.000000,1
56.299999,241.805756,11.000000,1
6.000000,296.449585,11.000000,1
12.375000,73.333305,8.000000,1
0.000000,0.000000,0.000000,1
5.500000,62.278019,11.000000,1
8.666667,32.665627,6.000000,1
10.600000,284.462036,11.000000,1
20.285715,72.630318,7.000000,1
3.900000,424.783234,11.000000,1
6.125000,133.328506,11.000000,1
7.700000,77.024300,11.000000,1
5.500000,17.338533,8.000000,1
4.200000,301.935669,11.000000,1
4.200000,33.468296,11.000000,1
9.000000,82.594536,11.000000,1
10.200000,136.966293,11.000000,1
1.600000,329.350128,11.000000,1
8.600000,108.435638,11.000000,1
5.400000,137.937042,11.000000,1
15.777778,273.933319,9.000000,1
5.666667,239.750580,7.000000,1
1.777778,235.273102,10.000000,1
2.700000,210.159363,11.000000,1
6.000000,5.436973,2.000000,1
76.111115,134.590683,11.000000,1
90.900002,205.358383,11.000000,1
13.500000,110.541901,11.000000,1
135.666672,30.011406,7.000000,1
11.666667,16.081894,8.000000,1
6.375000,64.067444,9.000000,1
9.444445,100.042046,11.000000,1
12.000000,99.479523,9.000000,1
8.888889,77.328705,11.000000,1
9.300000,66.738533,11.000000,1
2.000000,365.094849,11.000000,1
27.000000,20.375439,5.000000,1
20.000000,21.771706,8.000000,1
8.888889,157.421204,11.000000,1
5.100000,404.984161,11.000000,1
7.400000,220.622070,11.000000,1
4.800000,109.422005,11.000000,1
9.285714,85.015343,8.000000,1
51.666668,76.367378,8.000000,1
172.571426,63.802658,8.000000,1
8.285714,123.203239,8.000000,1
7.400000,507.859344,11.000000,1
5.800000,396.809113,11.000000,1
7.333333,148.481705,7.000000,1
44.000000,14.064737,5.000000,1
5.700000,416.682312,11.000000,1
4.900000,459.609497,11.000000,1
9.857142,96.560417,9.000000,1
56.000000,1.303526,5.000000,1
15.100000,357.594696,11.000000,1
9.900000,153.190689,11.000000,1
10.333333,91.415253,7.000000,1
15.333333,124.349419,7.000000,1
10.750000,272.906067,9.000000,1
7.800000,974.421143,11.000000,1
25.166666,267.321075,8.000000,1
8.800000,97.135628,11.000000,1
7.500000,52.493324,10.000000,1
2.666667,12.484452,7.000000,1
57.099998,190.703430,11.000000,1
5.500000,264.802704,11.000000,1
4.600000,182.080276,11.000000,1
20.125000,165.789078,11.000000,1
8.800000,110.959671,11.000000,1
33.700001,118.873711,11.000000,1
47.500000,45.261059,11.000000,1
47.000000,194.065140,11.000000,1
107.400002,30.314764,7.000000,1
8.500000,146.938293,7.000000,1
5.000000,308.136536,8.000000,1
59.599998,197.928467,11.000000,1
9.888889,114.865891,11.000000,1
2.500000,63.704346,4.000000,1
16.714285,166.672852,9.000000,1
8.600000,298.851013,11.000000,1
1.875000,133.242935,9.000000,1
4.750000,252.201706,11.000000,1
5.875000,174.308899,9.000000,1
8.428572,242.231384,8.000000,1
0.600000,1001.739075,11.000000,1
1.500000,459.163666,8.000000,1
6.000000,392.918945,11.000000,1
6.750000,114.404541,6.000000,1
5.800000,295.974579,11.000000,1
4.700000,183.438065,11.000000,1
3.500000,461.273621,11.000000,1
6.200000,498.497772,11.000000,1
2.300000,366.844360,11.000000,1
0.000000,0.000000,0.000000,0
2.800000,40.476292,10.000000,0
8.250000,32.168961,6.000000,0
8.500000,2.583525,6.000000,0
5.166667,7.749367,9.000000,0
26.750000,13.229606,5.000000,0
0.000000,0.000000,0.000000,0
4.333333,31.525118,11.000000,0
0.000000,0.000000,0.000000,0
15.000000,8.012028,6.000000,0
4.200000,44.787708,6.000000,0
16.400000,30.776995,9.000000,0
0.000000,1.731661,1.000000,0
2.875000,31.707869,4.000000,0
0.000000,0.000000,4.000000,0
12.750000,17.767357,6.000000,0
0.000000,0.000000,0.000000,0
10.000000,12.232360,3.000000,0
4.750000,45.315502,10.000000,0
12.285714,18.597536,10.000000,0
6.666667,37.487019,11.000000,0
15.833333,13.976725,11.000000,0
11.444445,34.487263,10.000000,0
8.000000,12.379285,4.000000,0
0.000000,0.461339,0.000000,0
1.500000,12.553238,6.000000,0
10.000000,32.650730,11.000000,0
3.500000,81.693604,5.000000,0
0.000000,0.000000,0.000000,0
0.000000,0.000000,0.000000,0
5.500000,51.648521,8.000000,0
0.000000,0.609773,1.000000,0
2.000000,45.150883,9.000000,0
3.000000,31.653471,2.000000,0
15.333333,9.399311,9.000000,0
7.000000,15.353006,11.000000,0
5.333333,8.907592,9.000000,0
4.428571,43.803371,10.000000,0
1.888889,41.974972,11.000000,0
0.000000,0.858481,1.000000,0
9.250000,14.795391,7.000000,0
1.000000,22.671526,10.000000,0
1.500000,3.416744,4.000000,0
1.666667,17.880905,7.000000,0
2.000000,17.923393,10.000000,0
3.000000,2.561742,7.000000,0
11.125000,18.717485,9.000000,0
4.666667,7.328104,11.000000,0
2.000000,4.209499,6.000000,0
1.750000,40.698006,5.000000,0
2.888889,77.165054,11.000000,0
3.600000,7.913365,9.000000,0
26.000000,3.430996,5.000000,0
8.500000,2.418413,0.000000,0
5.200000,7.525523,6.000000,0
10.000000,11.096437,9.000000,0
0.000000,16.740944,3.000000,0
7.000000,41.549229,11.000000,0
3.625000,143.360382,9.000000,0
3.000000,23.167902,4.000000,0
3.666667,13.640225,7.000000,0
12.000000,27.648542,11.000000,0
12.500000,2.175524,4.000000,0
5.333333,11.332267,4.000000,0
12.500000,13.132607,6.000000,0
9.125000,23.071215,11.000000,0
3.666667,5.873928,2.000000,0
0.000000,0.535560,2.000000,0
3.222222,23.350433,11.000000,0
20.500000,21.198122,11.000000,0
21.000000,1.062406,2.000000,0
3.750000,32.914417,6.000000,0
2.500000,6.473019,6.000000,0
8.166667,12.586498,9.000000,0
41.333332,2.356091,4.000000,0
0.000000,0.736296,1.000000,0
6.600000,8.558360,9.000000,0
2.166667,21.716656,8.000000,0
0.500000,13.048782,4.000000,0
4.428571,15.917324,11.000000,0
3.666667,6.466168,5.000000,0
7.750000,51.378891,10.000000,0
7.500000,22.563927,9.000000,0
11.000000,13.730511,8.000000,0
10.833333,16.189207,10.000000,0
2.666667,3.568044,3.000000,0
13.500000,10.863379,8.000000,0
21.000000,6.023808,8.000000,0
20.750000,16.466379,7.000000,0
10.000000,6.127684,3.000000,0
16.000000,12.001507,11.000000,0
1.000000,7.016760,4.000000,0
0.000000,0.942303,3.000000,0
4.571429,23.647266,10.000000,0
13.333333,23.141479,4.000000,0
9.250000,12.679290,5.000000,0
4.800000,6.188000,9.000000,0
7.800000,10.506116,11.000000,0
22.000000,1.272516,1.000000,0
0.000000,0.000000,0.000000,0
8.000000,1.010305,2.000000,0
3.250000,8.741833,8.000000,0
6.000000,6.956656,0.000000,0
8.000000,3.450012,6.000000,0
4.750000,61.813576,9.000000,0
10.625000,168.201279,11.000000,0
47.000000,4.860018,5.000000,0
10.000000,3.684335,6.000000,0
10.285714,85.183189,9.000000,0
14.000000,17.785339,8.000000,0
9.857142,12.690438,8.000000,0
1.000000,28.268793,2.000000,0
1.000000,1.464474,6.000000,0
6.666667,36.029259,5.000000,0
5.400000,24.791668,9.000000,0
0.000000,2.114090,2.000000,0
2.000000,159.879013,11.000000,0
1.000000,76.045090,3.000000,0
1.000000,5.997071,5.000000,0
0.000000,0.974354,2.000000,0
0.000000,0.000000,0.000000,0
0.000000,0.000000,0.000000,0
12.777778,175.319031,10.000000,0
28.428572,13.669879,8.000000,0
46.000000,16.998186,4.000000,0
4.000000,0.898067,3.000000,0
3.400000,28.351732,11.000000,0
24.250000,12.495819,7.000000,0
0.000000,0.000000,0.000000,0
0.000000,0.520511,1.000000,0
12.700000,62.855534,11.000000,0
2.625000,22.929529,11.000000,0
7.250000,16.293167,7.000000,0
18.000000,8.337870,9.000000,0
6.714286,18.695164,10.000000,0
2.000000,3.778877,3.000000,0
0.000000,4.899149,2.000000,0
7.714286,42.747715,9.000000,0
4.000000,16.416050,8.000000,0
128.000000,6.461649,3.000000,0
5.000000,32.258118,9.000000,0
27.166666,8.458296,7.000000,0
2.400000,15.949801,3.000000,0
65.000000,1.400519,2.000000,0
10.500000,43.861282,5.000000,0
10.500000,51.858158,11.000000,0
3.333333,11.169709,7.000000,0
4.333333,4.919735,6.000000,0
49.200001,25.330547,9.000000,0
15.000000,2.038999,2.000000,0
11.428572,72.818878,10.000000,0
2.000000,8.586137,7.000000,0
17.666666,4.587294,5.000000,0
0.500000,15.293964,11.000000,0
3.333333,8.790877,9.000000,0
0.000000,0.703655,1.000000,0
0.000000,0.694236,2.000000,0
13.800000,18.187288,10.000000,0
18.000000,2.569731,2.000000,0
7.400000,5.762354,10.000000,0
4.166667,9.866149,8.000000,0
15.250000,15.989630,9.000000,0
7.500000,4.036020,7.000000,0
9.000000,9.591801,7.000000,0
4.666667,5.550091,4.000000,0
4.000000,5.199556,4.000000,0
0.000000,0.702791,4.000000,0
14.800000,22.985670,11.000000,0
3.000000,16.882996,3.000000,0
2.700000,119.089363,11.000000,0
0.000000,0.000000,0.000000,0
0.000000,4.240782,2.000000,0
14.285714,30.887383,11.000000,0
6.666667,32.621597,9.000000,0
2.666667,5.230027,8.000000,0
27.666666,2.508731,5.000000,0
12.250000,14.445411,5.000000,0
6.666667,14.537994,10.000000,0
3.125000,36.512413,9.000000,0
2.000000,0.968931,3.000000,0
7.625000,14.310822,7.000000,0
7.666667,14.691528,7.000000,0
0.000000,0.000000,0.000000,0
4.666667,48.784428,8.000000,0
10.000000,7.730844,4.000000,0
6.500000,27.520061,9.000000,0
12.500000,5.778067,5.000000,0
21.750000,56.262306,10.000000,0
0.000000,0.617455,1.000000,0
30.200001,40.082180,6.000000,0
42.333332,9.075811,5.000000,0
19.000000,1.177322,4.000000,0
36.599998,5.054501,6.000000,0
7.000000,4.303896,2.000000,0
3.500000,42.277416,10.000000,0
63.000000,2.278740,7.000000,0
1.000000,13.887710,3.000000,0
5.625000,79.441017,8.000000,0
2.400000,12.730649,9.000000,0
0.000000,0.000000,0.000000,0
9.142858,74.167374,10.000000,0
13.333333,3.292294,7.000000,0
27.000000,10.097626,11.000000,0
61.500000,2.179507,2.000000,0
0.000000,0.000000,0.000000,0
3.666667,71.741508,5.000000,0
4.500000,85.195259,11.000000,0
4.857143,50.216251,9.000000,0
0.000000,0.000000,1.000000,0
9.285714,31.704084,9.000000,0
12.333333,19.747017,10.000000,0
2.000000,4.167268,8.000000,0
4.833333,98.898125,8.000000,0
5.555555,45.328587,11.000000,0
5.000000,17.500353,4.000000,0
5.857143,28.539526,11.000000,0
3.666667,68.024826,10.000000,0
4.600000,8.004808,11.000000,0
4.666667,9.354639,11.000000,0
4.000000,28.842314,6.000000,0
4.600000,17.105112,8.000000,0
3.400000,25.128496,7.000000,0
1.600000,22.106787,8.000000,0
2.666667,31.063953,10.000000,0
2.571429,90.700607,9.000000,0
1.000000,69.782684,9.000000,0
6.600000,78.025223,10.000000,0
7.666667,17.170977,6.000000,0
0.000000,7.372924,3.000000,0
1.857143,93.613411,9.000000,0
7.666667,15.583747,11.000000,0
4.900000,79.435249,11.000000,0
5.625000,104.629852,11.000000,0
3.800000,13.367243,9.000000,0
13.000000,5.701149,5.000000,0
0.000000,1.392646,2.000000,0
4.875000,45.546764,10.000000,0
4.666667,7.377602,3.000000,0
0.000000,0.000000,0.000000,0
5.166667,35.534069,9.000000,0
4.200000,78.505219,7.000000,0
47.700001,123.806175,11.000000,0
3.000000,205.568344,11.000000,0
1.714286,264.215149,8.000000,0
0.000000,0.811390,0.000000,0
6.000000,35.520512,5.000000,0
6.400000,39.433506,6.000000,0
0.000000,0.000000,0.000000,0
